site,var,nRMSE,R2,n
SE-Deg,zSM,0.22464083078445002,9.022007479890631e-4,2552
CH-Aws,zSM,0.2939191568377499,0.03697274920008743,2940
CH-Dav,zSM,0.24947993307630753,0.07286713561356793,5090
CZ-wet,zSM,0.31270370518060425,0.10989215645441634,1100
FR-LGt,zSM,0.20980113790401977,0.11451556686330344,1446
IT-BCi,AET,0.125813400768794,0.17529739517270498,2371
BE-Lcr,PREC,0.05626064295874318,0.18267493719293396,340
IT-Cp2,AET,0.19522669690384295,0.18285825377617637,935
CZ-Stn,zSM,0.21973234590423454,0.18350485715869755,3928
CH-Oe2,zSM,0.19494895884900956,0.19016111521298007,5673
FI-Hyy,zSM,0.19660205561305666,0.2227697697114628,8000
BE-Vie,zSM,0.20983896283625733,0.25823239763543443,7864
IT-Cp2,zSM,0.13228973297004024,0.26243540198156684,2406
CZ-BK1,zSM,0.19894632653062272,0.2954406398481804,3563
BE-Dor,zSM,0.22636085676340043,0.3008739744900228,3499
IT-BCi,PREC,0.0538850983602626,0.30621506089546935,4274
IT-BCi,zSM,0.16453127982292862,0.32479124977829815,5243
FR-Lam,zSM,0.16024783254842817,0.3646971033447954,5470
DE-Geb,zSM,0.13414916169846883,0.37032361928030355,6747
DE-Kli,zSM,0.16239988460847493,0.3767077066588196,4494
CH-Lae,zSM,0.15288404480286144,0.38538874402891043,4946
CH-Aws,PREC,0.09198170929707618,0.387538583082779,386
IT-Tor,zSM,0.11233609680243845,0.3962934656586534,4529
IT-Lsn,PREC,0.06199344063494883,0.39917680990451526,1529
DE-Tha,zSM,0.17230236517784184,0.40176739154073615,8139
CH-Dav,AET,0.10341563610103131,0.4028598836152198,3939
FR-Lam,AET,0.12477826118404205,0.4040544210302972,3967
FR-LGt,PREC,0.10146437625986145,0.4164382652875666,1062
IT-SR2,zSM,0.1874721555048318,0.42527281490230234,2759
SE-Htm,PREC,0.05725634616221624,0.4379487421538904,2135
IT-Tor,PREC,0.09747893104633455,0.44541082710091356,2753
CH-Aws,AET,0.2499126394491824,0.4514638622341015,312
CZ-RAJ,PREC,0.04404054079873903,0.4527477915588201,2920
